file,line,type,content,status
web_portal/static/quote.html,797,hardcoded_html,⏹️ Stop,TO_FIX
web_portal/static/quote.html,798,hardcoded_html,Cancel,TO_FIX
web_portal/static/index.html,6,hardcoded_html,PHINS Insurance — Comprehensive Coverage & Financial Security,TO_FIX
web_portal/static/index.html,38,hardcoded_html,PHINS: Specialized Disability Protection & Investment,TO_FIX
web_portal/static/index.html,56,hardcoded_html,PHINS Disability Protection & Investment Contract,TO_FIX
web_portal/static/index.html,121,hardcoded_html,Get a Free Quote,TO_FIX
web_portal/static/index.html,150,hardcoded_html,Submit Request,TO_FIX
web_portal/static/index.html,167,hardcoded_html,Application Requirements,TO_FIX
web_portal/static/index.html,179,hardcoded_html,Medical Requirements,TO_FIX
web_portal/static/index.html,191,hardcoded_html,Risk Assessment Criteria,TO_FIX
web_portal/static/index.html,203,hardcoded_html,Processing Timeline,TO_FIX
web_portal/static/index.html,216,hardcoded_html,Risk Classification & Premium Adjustments,TO_FIX
web_portal/static/index.html,289,hardcoded_html,Global Leader in Specialized Disability Insurance Since 1995,TO_FIX
web_portal/static/index.html,290,hardcoded_html,"PHINS Insurance pioneered the world's first integrated severe disability and investment insurance contract. With over 25 years of specialized experience, we focus exclusively on one thing: protecting people from the catastrophic financial impact of severe permanent disabilities while building their wealth.",TO_FIX
web_portal/static/index.html,292,hardcoded_html,Our Mission,TO_FIX
web_portal/static/index.html,293,hardcoded_html,"To provide the world's most comprehensive protection against severe permanent disability (ADL-based criteria) while simultaneously creating wealth through professionally managed investments. One specialized contract, complete protection.",TO_FIX
web_portal/static/index.html,295,hardcoded_html,Why PHINS is Different,TO_FIX
web_portal/static/index.html,307,hardcoded_html,Understanding Severe Disability & ADLs,TO_FIX
web_portal/static/index.html,347,hardcoded_html,📍 Main Office,TO_FIX
web_portal/static/index.html,354,hardcoded_html,📞 Phone,TO_FIX
web_portal/static/index.html,359,hardcoded_html,✉️ Email,TO_FIX
web_portal/static/index.html,365,hardcoded_html,🕐 Business Hours,TO_FIX
web_portal/static/index.html,378,hardcoded_html,Existing Customer?,TO_FIX
web_portal/static/index.html,379,hardcoded_html,"Access your account to view policies, make claims, and manage your investments",TO_FIX
web_portal/static/index.html,389,hardcoded_html,PHINS Insurance,TO_FIX
web_portal/static/index.html,390,hardcoded_html,Your trusted partner in insurance and financial security.,TO_FIX
web_portal/static/index.html,393,hardcoded_html,Quick Links,TO_FIX
web_portal/static/index.html,402,hardcoded_html,Legal,TO_FIX
web_portal/static/index.html,412,hardcoded_html,© 2025 PHINS Insurance Company. All rights reserved. Licensed in all 50 states.,TO_FIX
